,2016,2017,2018,2019,2020,2021,2022,2023
68,12.52%,-3.10%,3.16%,0.45%,-2.48%,-0.07%,-1.63%,-0.20%
69,-6.80%,11.71%,1.01%,1.21%,-0.86%,-1.77%,-2.00%,-0.44%
70,0.08%,-8.93%,13.64%,-0.83%,-0.41%,-0.61%,-2.73%,2.15%
71,1.03%,-1.43%,-8.32%,13.29%,-3.29%,1.01%,-0.80%,-0.95%
72,8.51%,-1.53%,-0.13%,-6.93%,11.18%,-0.88%,-1.02%,-0.60%
73,-0.43%,6.66%,0.59%,-1.43%,-6.49%,12.19%,-4.80%,0.40%
74,-1.92%,-1.21%,6.73%,2.73%,-3.32%,-7.39%,9.48%,-1.73%
75,0.49%,-1.39%,-0.78%,8.85%,-2.19%,-0.25%,-10.46%,11.96%
76,2.36%,-2.12%,-1.02%,0.95%,5.16%,-2.00%,-3.90%,-6.81%
77,2.74%,0.45%,0.18%,0.52%,-3.00%,5.16%,-3.11%,-1.75%
78,0.24%,0.27%,1.96%,1.39%,-2.33%,-2.83%,3.06%,0.02%
79,1.60%,-1.40%,2.70%,1.33%,-0.59%,-1.91%,-4.39%,4.99%
80,3.85%,-0.35%,0.86%,2.64%,-1.26%,-0.91%,-4.44%,-2.50%
81,2.64%,2.62%,0.05%,1.07%,0.66%,-0.72%,-3.81%,-2.81%
82,0.27%,2.00%,3.37%,1.20%,-1.73%,1.91%,-3.30%,-2.96%
83,4.65%,-3.51%,3.52%,3.25%,1.78%,-2.32%,-2.40%,-1.42%
84,0.78%,-0.24%,-0.08%,4.61%,2.78%,-0.62%,-6.06%,-0.38%
85,5.19%,-1.12%,1.93%,0.60%,2.25%,2.25%,-5.08%,-3.13%
86,-0.43%,2.97%,-0.77%,3.04%,2.02%,-1.21%,-1.82%,-2.01%
87,3.28%,-3.96%,5.22%,-0.43%,5.83%,-0.03%,-7.43%,0.64%
88,3.70%,0.48%,-3.06%,7.06%,3.74%,3.50%,-8.25%,-6.66%
89,1.71%,1.39%,-0.02%,-1.49%,10.82%,1.07%,-4.05%,-4.66%
90,3.07%,-1.86%,2.13%,2.64%,5.20%,4.79%,-6.63%,-1.45%
91,4.00%,-0.91%,0.34%,3.77%,9.32%,-2.29%,-0.99%,-6.34%
92,1.73%,0.12%,1.87%,0.89%,10.23%,0.89%,-9.01%,0.21%
93,1.67%,-1.64%,2.80%,1.19%,10.41%,1.58%,-9.17%,-4.62%
94,4.54%,-3.55%,0.60%,3.11%,14.54%,-2.96%,-12.94%,2.29%
95,7.98%,-0.14%,-0.81%,2.23%,16.84%,-2.54%,-19.23%,4.93%
96,-7.40%,3.98%,3.10%,-0.68%,16.32%,-0.53%,-20.62%,4.02%
97,5.54%,-11.45%,5.03%,5.64%,14.15%,-0.36%,-22.20%,4.66%
98,2.23%,2.99%,-8.14%,6.94%,15.82%,-1.16%,-22.69%,7.61%
99,0.62%,-3.47%,5.40%,-5.38%,15.14%,2.31%,-21.96%,5.33%
100,0.77%,-1.86%,-0.17%,2.25%,5.50%,3.70%,-14.65%,6.34%
