,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
47,-8.90%,-2.37%,-3.91%,-3.36%,1.48%,-3.40%,-1.90%,-0.56%,-2.87%,-0.67%,-0.69%,-2.43%
48,-6.05%,-5.94%,-2.47%,-5.61%,-0.52%,-1.71%,-1.04%,-3.25%,-0.24%,-1.95%,-2.67%,1.50%
49,-1.95%,-1.05%,-6.04%,-4.15%,-2.72%,-3.78%,0.62%,-2.37%,-2.92%,0.65%,-3.99%,-0.44%
50,-4.68%,-2.08%,-1.15%,-7.78%,-1.29%,-6.04%,-1.40%,-0.69%,-2.04%,-2.00%,-1.33%,-1.72%
51,-4.19%,-1.68%,-2.18%,-2.81%,-4.82%,-4.57%,-3.62%,-2.74%,-0.37%,-1.13%,-4.04%,0.88%
52,0.49%,-1.47%,-1.78%,-3.85%,0.01%,-8.22%,-2.18%,-4.98%,-2.41%,0.52%,-3.15%,-1.77%
53,2.03%,2.12%,-1.57%,-3.45%,-1.00%,-3.23%,-5.74%,-3.52%,-4.65%,-1.50%,-1.46%,-0.90%
54,1.66%,0.84%,2.02%,-3.23%,-0.61%,-4.27%,-0.86%,-7.14%,-3.20%,-3.72%,-3.53%,0.75%
55,-2.51%,1.10%,0.74%,0.41%,-0.40%,-3.87%,-1.89%,-2.19%,-6.79%,-2.28%,-5.78%,-1.27%
56,-0.33%,-0.14%,1.00%,-0.89%,3.14%,-3.65%,-1.49%,-3.23%,-1.87%,-5.84%,-4.32%,-3.48%
57,0.72%,1.35%,-0.24%,-0.63%,1.88%,0.01%,-1.28%,-2.83%,-2.90%,-0.96%,-7.96%,-2.05%
58,1.84%,0.37%,1.25%,-1.88%,2.14%,-1.30%,2.30%,-2.61%,-2.50%,-1.99%,-2.97%,-5.60%
59,0.64%,2.51%,0.27%,-0.37%,0.91%,-1.03%,1.02%,1.01%,-2.29%,-1.59%,-4.02%,-0.73%
60,-2.21%,3.78%,2.41%,-1.37%,2.38%,-2.29%,1.28%,-0.28%,1.32%,-1.38%,-3.62%,-1.75%
61,-3.10%,1.52%,3.69%,0.81%,1.42%,-0.78%,0.05%,-0.02%,0.04%,2.20%,-3.40%,-1.36%
62,-3.18%,1.09%,1.43%,2.11%,3.53%,-1.78%,1.53%,-1.27%,0.30%,0.93%,0.25%,-1.15%
63,-2.59%,0.96%,0.99%,-0.19%,4.80%,0.41%,0.55%,0.23%,-0.95%,1.18%,-1.05%,2.42%
64,-4.14%,1.30%,0.86%,-0.63%,2.56%,1.71%,2.69%,-0.76%,0.55%,-0.05%,-0.79%,1.15%
65,-5.23%,1.09%,1.20%,-0.76%,2.13%,-0.60%,3.96%,1.41%,-0.44%,1.43%,-2.05%,1.41%
66,-3.10%,0.83%,0.99%,-0.42%,2.00%,-1.04%,1.70%,2.70%,1.72%,0.46%,-0.53%,0.18%
67,-5.87%,2.27%,0.73%,-0.63%,2.34%,-1.17%,1.27%,0.41%,3.01%,2.59%,-1.53%,1.66%
68,-5.21%,-0.76%,2.18%,-0.90%,2.13%,-0.83%,1.14%,-0.03%,0.73%,3.87%,0.65%,0.68%
69,-5.45%,0.43%,-0.85%,0.57%,1.87%,-1.04%,1.48%,-0.16%,0.29%,1.61%,1.95%,2.81%
70,-7.73%,1.12%,0.34%,-2.51%,3.30%,-1.30%,1.27%,0.18%,0.16%,1.18%,-0.35%,4.09%
71,-6.19%,-0.07%,1.02%,-1.30%,0.30%,0.17%,1.01%,-0.03%,0.50%,1.05%,-0.79%,1.83%
72,-6.06%,0.11%,-0.17%,-0.60%,1.48%,-2.93%,2.45%,-0.29%,0.29%,1.39%,-0.93%,1.40%
73,-4.50%,-1.52%,0.02%,-1.81%,2.16%,-1.71%,-0.57%,1.17%,0.03%,1.18%,-0.58%,1.27%
74,-1.81%,-1.10%,-1.62%,-1.62%,0.98%,-1.01%,0.62%,-1.90%,1.48%,0.92%,-0.79%,1.61%
75,-5.53%,0.05%,-1.20%,-3.29%,1.17%,-2.23%,1.30%,-0.69%,-1.57%,2.36%,-1.06%,1.40%
76,12.12%,-2.66%,-0.05%,-2.86%,-0.45%,-2.04%,0.11%,0.00%,-0.37%,-0.67%,0.41%,1.14%
77,-4.23%,13.10%,-2.76%,-1.69%,-0.04%,-3.71%,0.30%,-1.20%,0.32%,0.52%,-2.67%,2.58%
78,-0.42%,-5.49%,13.01%,-4.44%,1.10%,-3.28%,-1.33%,-1.01%,-0.88%,1.21%,-1.46%,-0.44%
79,3.70%,-1.48%,-5.59%,11.58%,-1.58%,-2.10%,-0.92%,-2.67%,-0.69%,0.02%,-0.76%,0.75%
80,7.00%,1.22%,-1.58%,-7.32%,14.01%,-4.87%,0.23%,-2.25%,-2.34%,0.20%,-1.98%,1.43%
81,0.66%,7.58%,1.13%,-3.24%,-4.38%,11.23%,-2.47%,-1.08%,-1.92%,-1.43%,-1.79%,0.24%
82,0.70%,0.77%,7.49%,-0.50%,-0.41%,-7.76%,13.26%,-3.82%,-0.76%,-1.02%,-3.45%,0.43%
83,0.75%,-0.48%,0.67%,5.97%,2.26%,-3.66%,-5.29%,12.11%,-3.49%,0.14%,-3.03%,-1.20%
84,1.84%,-0.10%,-0.58%,-0.96%,8.55%,-0.90%,-1.29%,-6.68%,12.39%,-2.57%,-1.85%,-0.79%
85,4.55%,1.26%,-0.20%,-2.23%,1.81%,5.59%,1.41%,-2.62%,-6.34%,13.17%,-4.61%,0.36%
86,2.31%,2.93%,1.16%,-1.84%,0.57%,-1.37%,7.75%,0.11%,-2.30%,-5.39%,11.44%,-2.33%
87,3.29%,0.48%,2.83%,-0.46%,0.96%,-2.65%,0.95%,6.53%,0.43%,-1.39%,-7.50%,13.37%
88,6.48%,1.10%,0.39%,1.24%,2.30%,-2.25%,-0.30%,-0.36%,6.83%,1.31%,-3.41%,-5.16%
89,-5.44%,4.32%,1.01%,-1.25%,3.95%,-0.87%,0.09%,-1.62%,-0.04%,7.66%,-0.66%,-1.16%
90,-3.66%,-1.85%,4.23%,-0.62%,1.53%,0.84%,1.44%,-1.23%,-1.30%,0.85%,5.82%,1.54%
91,1.05%,0.27%,-1.95%,2.66%,2.14%,-1.66%,3.11%,0.14%,-0.91%,-0.40%,-1.12%,7.87%
92,-2.58%,3.43%,0.18%,-3.62%,5.33%,-1.03%,0.67%,1.83%,0.46%,-0.01%,-2.40%,1.08%
93,2.96%,0.63%,3.34%,-1.46%,-0.78%,2.26%,1.29%,-0.64%,2.14%,1.35%,-2.00%,-0.17%
94,-4.52%,5.49%,0.53%,1.75%,1.32%,-4.04%,4.50%,-0.01%,-0.32%,3.01%,-0.62%,0.22%
95,-1.92%,0.00%,5.39%,-1.10%,4.45%,-1.87%,-1.66%,3.24%,0.30%,0.57%,1.08%,1.57%
96,-2.21%,2.93%,-0.10%,3.84%,1.67%,1.35%,0.46%,-3.00%,3.55%,1.19%,-1.41%,3.23%
97,-1.75%,3.33%,2.84%,-1.74%,6.48%,-1.51%,3.61%,-0.85%,-2.67%,4.41%,-0.78%,0.80%
98,-3.64%,1.81%,3.24%,1.24%,1.05%,3.45%,0.81%,2.34%,-0.53%,-1.76%,2.50%,1.42%
99,-5.16%,0.61%,1.71%,1.65%,3.95%,-2.15%,5.66%,-0.50%,2.65%,0.36%,-3.79%,4.62%
100,-3.60%,3.26%,0.51%,0.10%,4.35%,0.84%,0.18%,4.42%,-0.18%,3.52%,-1.62%,-1.53%
