,2016,2017,2018,2019,2020,2021,2022,2023
68,12.15%,-2.56%,-0.01%,-1.45%,-3.78%,-0.97%,0.83%,1.45%
69,-7.64%,13.08%,-3.76%,2.38%,-4.43%,-1.31%,0.58%,0.32%
70,-0.78%,-8.67%,12.48%,-2.08%,-3.83%,-1.52%,0.89%,2.02%
71,0.59%,-1.63%,-7.45%,13.81%,-5.02%,-0.70%,-2.07%,1.60%
72,6.79%,0.10%,-2.32%,-6.15%,10.60%,-2.51%,-0.75%,0.13%
73,0.55%,6.03%,0.09%,-0.68%,-8.90%,13.41%,-4.63%,0.94%
74,-1.33%,-1.12%,7.19%,1.62%,-7.27%,-4.89%,14.39%,-3.85%
75,-0.89%,0.35%,-1.65%,8.32%,-2.75%,-4.82%,-4.75%,15.23%
76,1.08%,-0.59%,-1.77%,1.06%,3.42%,0.20%,-4.09%,-2.71%
77,2.53%,0.11%,-1.45%,0.91%,-5.38%,9.18%,-2.31%,-1.59%
78,1.22%,0.25%,1.73%,-0.40%,-7.48%,1.29%,6.28%,1.33%
79,0.49%,-1.96%,2.92%,1.99%,-4.85%,-3.03%,0.85%,6.25%
80,4.18%,-0.64%,-0.02%,3.11%,-4.15%,-1.04%,-2.31%,0.93%
81,2.82%,1.83%,0.94%,-0.09%,-1.35%,-0.79%,-1.79%,-0.65%
82,1.05%,-2.07%,3.91%,1.41%,-4.24%,1.71%,-1.64%,-1.44%
83,5.30%,-3.67%,2.10%,3.22%,-4.55%,-0.27%,-0.13%,0.94%
84,1.34%,1.55%,-0.06%,1.04%,-0.92%,0.36%,-2.81%,2.50%
85,6.73%,-2.43%,3.57%,0.33%,-6.03%,3.90%,-1.68%,-0.65%
86,-0.61%,3.58%,0.64%,4.56%,-1.40%,-5.20%,1.38%,-0.22%
87,4.35%,-3.23%,6.54%,-0.63%,3.60%,0.67%,-9.13%,3.26%
88,4.28%,-0.23%,-1.37%,6.73%,-0.85%,6.50%,-2.00%,-9.34%
89,0.72%,1.68%,2.65%,0.04%,4.74%,2.58%,2.98%,-2.04%
90,0.22%,-0.46%,3.52%,3.58%,-2.60%,8.31%,-1.39%,2.99%
91,3.53%,-0.48%,0.42%,4.03%,0.63%,1.73%,4.80%,-1.04%
92,1.64%,-0.24%,2.48%,1.31%,1.85%,4.57%,-1.97%,4.99%
93,0.65%,-0.02%,1.95%,0.92%,-0.06%,6.35%,-1.66%,0.64%
94,6.34%,-2.65%,1.18%,3.15%,-1.06%,5.18%,-3.20%,6.02%
95,7.23%,2.09%,-0.18%,1.40%,1.81%,2.59%,-3.95%,7.79%
96,-8.27%,4.04%,3.40%,1.11%,-0.96%,8.99%,-9.86%,7.80%
97,8.59%,-13.05%,4.98%,6.03%,-1.78%,3.05%,-1.81%,3.62%
98,-0.96%,6.59%,-9.16%,4.11%,5.69%,2.09%,-7.70%,9.59%
99,-0.80%,-3.38%,8.87%,-4.21%,-2.92%,9.69%,-6.94%,10.18%
100,2.56%,-2.28%,0.26%,2.92%,-6.28%,6.19%,-5.10%,9.41%
