,2016,2017,2018,2019,2020,2021,2022,2023
87,-62.16%,-42.31%,49.02%,-240.00%,78.57%,-145.61%,56.82%,-91.30%
88,0.00%,0.00%,70.48%,-59.09%,-78.38%,6.92%,71.20%,-253.85%
89,0.00%,-200.00%,100.00%,0.00%,-81.25%,29.41%,-15.65%,-22.50%
90,0.00%,0.00%,100.00%,0.00%,55.77%,25.71%,-238.71%,16.22%
91,0.00%,0.00%,0.00%,0.00%,65.38%,100.00%,0.00%,-288.24%
92,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,42.11%
93,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-63.64%
94,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
95,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
96,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
