"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
59,"-2.3%","-1.6%","-1.1%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%"
60,"-3.7%","-2.3%","-1.4%","-1.0%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%"
61,"-5.2%","-3.1%","-1.6%","-1.1%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%"
62,"-6.4%","-3.7%","-1.8%","-1.1%","-1.0%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%"
63,"-6.9%","-3.9%","-1.8%","-1.1%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%","-0.9%"
64,"-6.5%","-3.6%","-1.6%","-0.9%","-0.8%","-0.8%","-0.8%","-0.7%","-0.7%","-0.7%","-0.7%","-0.7%"
65,"-5.3%","-2.8%","-1.2%","-0.7%","-0.6%","-0.6%","-0.6%","-0.6%","-0.6%","-0.6%","-0.6%","-0.6%"
66,"-3.7%","-1.9%","-0.7%","-0.5%","-0.4%","-0.4%","-0.4%","-0.4%","-0.4%","-0.4%","-0.4%","-0.4%"
67,"-2.1%","-0.9%","-0.3%","-0.2%","-0.2%","-0.2%","-0.2%","-0.2%","-0.2%","-0.2%","-0.2%","-0.2%"
68,"-0.7%","-0.2%","-0.0%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%"
69,"0.2%","0.3%","0.2%","0.0%","-0.0%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%"
70,"0.6%","0.4%","0.2%","0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
71,"0.4%","0.3%","0.1%","0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
72,"-0.2%","-0.1%","0.0%","0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
73,"-1.2%","-0.6%","-0.2%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
74,"-2.6%","-1.3%","-0.4%","-0.1%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
75,"-4.3%","-2.1%","-0.6%","-0.1%","-0.0%","-0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
76,"-5.9%","-2.9%","-0.9%","-0.1%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
77,"-7.1%","-3.5%","-1.1%","-0.2%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
78,"-7.8%","-3.9%","-1.2%","-0.2%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
79,"-8.1%","-4.1%","-1.2%","-0.2%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%","-0.0%"
80,"-8.4%","-4.3%","-1.3%","-0.3%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.0%","-0.0%","-0.0%"
81,"-8.9%","-4.5%","-1.5%","-0.4%","-0.2%","-0.2%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%"
82,"-9.2%","-4.8%","-1.7%","-0.6%","-0.4%","-0.3%","-0.3%","-0.3%","-0.3%","-0.3%","-0.3%","-0.2%"
83,"-9.0%","-4.9%","-2.0%","-0.9%","-0.7%","-0.7%","-0.6%","-0.6%","-0.6%","-0.5%","-0.5%","-0.5%"
84,"-8.0%","-4.7%","-2.4%","-1.5%","-1.2%","-1.2%","-1.1%","-1.0%","-1.0%","-0.9%","-0.9%","-0.9%"
85,"-6.5%","-4.4%","-2.8%","-2.2%","-1.9%","-1.8%","-1.7%","-1.6%","-1.5%","-1.5%","-1.3%","-1.0%"
86,"-4.9%","-4.0%","-3.3%","-3.0%","-2.7%","-2.6%","-2.4%","-2.3%","-2.2%","-2.0%","-1.7%","-1.0%"
87,"-3.5%","-3.8%","-3.9%","-3.8%","-3.5%","-3.3%","-3.1%","-3.0%","-2.8%","-2.6%","-2.1%","-1.0%"
88,"-2.1%","-3.5%","-4.3%","-4.4%","-4.2%","-3.9%","-3.7%","-3.5%","-3.3%","-3.0%","-2.5%","-1.0%"
89,"-0.7%","-3.0%","-4.4%","-4.7%","-4.4%","-4.2%","-3.9%","-3.7%","-3.5%","-3.2%","-2.6%","-1.0%"
90,"0.9%","-2.1%","-4.0%","-4.4%","-4.3%","-4.0%","-3.7%","-3.5%","-3.3%","-3.1%","-2.5%","-1.0%"
91,"2.5%","-0.9%","-3.1%","-3.8%","-3.7%","-3.4%","-3.2%","-3.0%","-2.8%","-2.6%","-2.2%","-1.0%"
92,"3.8%","0.3%","-2.1%","-2.8%","-2.8%","-2.6%","-2.4%","-2.3%","-2.2%","-2.0%","-1.7%","-1.0%"
93,"4.3%","1.0%","-1.2%","-1.8%","-1.9%","-1.7%","-1.6%","-1.5%","-1.4%","-1.4%","-1.2%","-1.0%"
94,"3.9%","1.3%","-0.5%","-1.0%","-1.1%","-1.0%","-1.0%","-0.9%","-0.8%","-0.8%","-0.8%","-0.8%"
95,"2.9%","1.1%","-0.1%","-0.5%","-0.6%","-0.5%","-0.5%","-0.5%","-0.4%","-0.4%","-0.4%","-0.4%"
