"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"60","-0.03691","-0.023274","-0.01355","-0.009937","-0.009066","-0.008828","-0.008761","-0.00875","-0.008749","-0.008749","-0.008749","-0.008749"
"61","-0.051919","-0.031051","-0.016211","-0.010729","-0.009424","-0.00907","-0.00897","-0.008953","-0.008952","-0.008952","-0.008952","-0.008952"
"62","-0.064019","-0.037151","-0.018152","-0.011212","-0.009584","-0.009142","-0.009016","-0.008995","-0.008993","-0.008993","-0.008993","-0.008993"
"63","-0.069075","-0.039204","-0.018325","-0.010874","-0.009183","-0.008721","-0.008586","-0.008563","-0.008561","-0.008561","-0.008561","-0.008561"
"64","-0.065082","-0.036058","-0.01621","-0.009447","-0.008018","-0.007623","-0.007502","-0.007481","-0.007479","-0.007479","-0.007479","-0.007479"
"65","-0.053188","-0.028455","-0.012192","-0.007132","-0.006226","-0.005965","-0.005875","-0.005858","-0.005857","-0.005857","-0.005857","-0.005857"
"66","-0.036971","-0.018637","-0.007393","-0.004516","-0.004224","-0.004116","-0.004062","-0.004051","-0.00405","-0.00405","-0.00405","-0.00405"
"67","-0.020539","-0.009152","-0.003069","-0.002241","-0.002463","-0.002479","-0.002456","-0.00245","-0.002449","-0.002449","-0.002449","-0.002449"
"68","-0.006969","-0.001803","-2.4e-05","-0.000686","-0.00121","-0.001295","-0.00129","-0.001288","-0.001287","-0.001287","-0.001287","-0.001287"
"69","0.002064","0.002643","0.001551","0.00012","-0.000482","-0.000583","-0.000587","-0.000586","-0.000586","-0.000586","-0.000586","-0.000586"
"70","0.005898","0.00414","0.001881","0.00037","-0.000141","-0.000225","-0.00023","-0.00023","-0.00023","-0.00023","-0.00023","-0.00023"
"71","0.004488","0.002961","0.001296","0.000297","-2.2e-05","-7.4e-05","-7.8e-05","-7.8e-05","-7.8e-05","-7.8e-05","-7.8e-05","-7.8e-05"
"72","-0.001761","-0.000526","6.1e-05","6.7e-05","-3e-06","-2.1e-05","-2.3e-05","-2.3e-05","-2.3e-05","-2.3e-05","-2.3e-05","-2.3e-05"
"73","-0.012271","-0.005997","-0.001683","-0.000244","-2e-05","-6e-06","-5e-06","-5e-06","-5e-06","-5e-06","-5e-06","-5e-06"
"74","-0.026363","-0.013154","-0.003862","-0.000613","-5.1e-05","-3e-06","-1e-06","-1e-06","-1e-06","-1e-06","-1e-06","-1e-06"
"75","-0.042687","-0.021369","-0.006318","-0.001016","-8.5e-05","-4e-06","0","0","0","0","0","0"
"76","-0.058583","-0.029347","-0.008691","-0.001404","-0.000121","-8e-06","-3e-06","-3e-06","-3e-06","-2e-06","-2e-06","-2e-06"
"77","-0.07075","-0.035453","-0.01051","-0.001708","-0.000157","-2e-05","-1.3e-05","-1.2e-05","-1.2e-05","-1.1e-05","-1.1e-05","-1e-05"
"78","-0.077598","-0.03891","-0.01157","-0.00192","-0.000217","-6.4e-05","-5.4e-05","-5.2e-05","-5e-05","-4.7e-05","-4.4e-05","-4.2e-05"
"79","-0.080878","-0.040639","-0.012197","-0.002152","-0.000373","-0.000206","-0.000187","-0.000178","-0.000172","-0.000163","-0.000152","-0.000145"
"80","-0.08415","-0.042513","-0.013071","-0.002654","-0.00079","-0.000596","-0.000553","-0.000527","-0.000507","-0.000482","-0.000451","-0.00043"
"81","-0.088897","-0.045447","-0.014694","-0.00377","-0.001772","-0.001516","-0.001418","-0.001349","-0.001298","-0.001233","-0.001158","-0.001106"
"82","-0.092414","-0.048338","-0.017082","-0.005888","-0.003747","-0.003377","-0.003169","-0.003014","-0.002893","-0.002751","-0.002591","-0.002485"
"83","-0.090229","-0.04923","-0.020038","-0.009407","-0.007192","-0.006634","-0.006235","-0.005924","-0.005673","-0.005396","-0.005106","-0.004918"
"84","-0.080391","-0.047345","-0.023596","-0.014629","-0.012429","-0.011587","-0.0109","-0.010345","-0.009876","-0.009398","-0.008942","-0.008656"
"85","-0.065246","-0.043835","-0.028064","-0.021556","-0.019401","-0.018169","-0.017099","-0.016206","-0.015435","-0.014524","-0.013067","-0.01"
"86","-0.049081","-0.040499","-0.033495","-0.029655","-0.027493","-0.025786","-0.024269","-0.022964","-0.021811","-0.020304","-0.017262","-0.01"
"87","-0.034554","-0.037951","-0.039105","-0.037713","-0.03549","-0.033286","-0.031318","-0.029585","-0.028035","-0.025943","-0.021363","-0.01"
"88","-0.021291","-0.035007","-0.0432","-0.043954","-0.041706","-0.039099","-0.036762","-0.034672","-0.032796","-0.030251","-0.0245","-0.01"
"89","-0.007248","-0.029616","-0.043804","-0.046525","-0.044429","-0.041633","-0.039109","-0.036835","-0.034796","-0.032049","-0.025812","-0.01"
"90","0.008761","-0.020564","-0.039725","-0.044299","-0.042613","-0.039926","-0.037467","-0.035253","-0.033273","-0.030653","-0.024798","-0.01"
"91","0.025162","-0.00879","-0.031445","-0.037577","-0.036514","-0.034222","-0.032084","-0.030168","-0.028462","-0.026284","-0.021624","-0.01"
"92","0.037828","0.002689","-0.021133","-0.028136","-0.027741","-0.026022","-0.024376","-0.022913","-0.021621","-0.020084","-0.017123","-0.01"
"93","0.042659","0.010483","-0.011584","-0.018441","-0.01856","-0.017436","-0.016323","-0.015343","-0.01449","-0.013631","-0.012444","-0.01"
"94","0.038716","0.01301","-0.004765","-0.010498","-0.010871","-0.010235","-0.009578","-0.009005","-0.008464","-0.00801","-0.00776","-0.007683"
"95","0.028958","0.011243","-0.001079","-0.005154","-0.005547","-0.005238","-0.004901","-0.004609","-0.004335","-0.004098","-0.003964","-0.003922"
